Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2008-12-04,Chargers,Raiders,4,7:27,2,7,RAI 18,33-7,Philip Rivers pass complete short right to Darren Sproles for 18 yards touchdown,18,4.040,7.000,2.96
2008-11-23,Chargers,Colts,2,5:05,1,10,CLT 39,9-3,Philip Rivers pass complete deep middle to Vincent Jackson for 39 yards touchdown,39,2.980,7.000,4.02
2008-11-23,Chargers,Colts,4,5:40,1,1,CLT 1,16-20,Philip Rivers pass complete short right to Jacob Hester for 1 yard touchdown,1,6.970,7.000,.03
2008-11-09,Chargers,Chiefs,3,3:47,3,5,KAN 5,12-13,Philip Rivers pass complete short middle to Malcom Floyd for 5 yards touchdown,5,4.260,7.000,2.74
2008-11-09,Chargers,Chiefs,4,6:59,3,4,KAN 8,19-13,Philip Rivers pass complete short middle to Antonio Gates for 8 yards touchdown,8,4.280,7.000,2.72
2008-10-26,Chargers,Saints,2,5:43,3,12,NOR 12,9-16,Philip Rivers pass complete short middle to LaDainian Tomlinson for 12 yards touchdown,12,3.100,7.000,3.90
2008-10-26,Chargers,Saints,2,1:14,1,10,NOR 12,16-23,Philip Rivers pass complete short right to Antonio Gates for 12 yards touchdown,12,4.780,7.000,2.22
2008-10-26,Chargers,Saints,4,7:29,3,1,NOR 14,29-37,Philip Rivers pass complete short right to Vincent Jackson for 14 yards touchdown,14,4.280,7.000,2.72
2008-10-19,Chargers,Bills,1,0:39,3,12,BUF 14,6-3,Philip Rivers pass complete short right to Malcom Floyd for 14 yards touchdown,14,3.060,7.000,3.94
2008-10-19,Chargers,Bills,3,6:33,3,12,BUF 12,13-13,Philip Rivers pass complete short left to Vincent Jackson for 12 yards touchdown,12,3.100,7.000,3.90
2008-10-12,Chargers,Patriots,1,4:06,1,10,NWE 49,9-0,Philip Rivers pass complete deep middle to Malcom Floyd for 49 yards touchdown,49,2.320,7.000,4.68
2008-10-12,Chargers,Patriots,2,1:10,2,2,NWE 4,16-3,Philip Rivers pass complete short middle to Vincent Jackson for 4 yards touchdown,4,5.600,7.000,1.40
2008-10-12,Chargers,Patriots,3,7:11,1,1,NWE 1,23-3,Philip Rivers pass complete short right to Antonio Gates for 1 yard touchdown,1,6.970,7.000,.03
2008-10-05,Chargers,Dolphins,3,3:21,2,12,MIA 17,9-17,Philip Rivers pass complete deep right to Chris Chambers for 17 yards touchdown,17,3.680,7.000,3.32
2008-09-28,Chargers,Raiders,4,14:19,1,9,RAI 9,9-15,Philip Rivers pass complete short right to Antonio Gates for 9 yards touchdown,9,5.140,7.000,1.86
2008-09-22,Chargers,Jets,1,2:08,2,1,NYJ 1,9-7,Philip Rivers pass complete short right to Mike Tolbert for 1 yard touchdown,1,5.910,7.000,1.09
2008-09-22,Chargers,Jets,2,11:25,2,6,NYJ 27,23-14,Philip Rivers pass complete deep middle to Chris Chambers for 27 yards touchdown,27,3.510,7.000,3.49
2008-09-22,Chargers,Jets,2,3:23,2,6,NYJ 6,30-14,Philip Rivers pass complete short right to Antonio Gates for 6 yards touchdown,6,4.950,7.000,2.05
2008-09-14,Chargers,Broncos,2,2:33,3,7,DEN 48,16-24,Philip Rivers pass complete deep right to Chris Chambers for 48 yards touchdown,48,1.360,7.000,5.64
2008-09-14,Chargers,Broncos,3,10:50,3,4,DEN 15,23-31,Philip Rivers pass complete short left to Chris Chambers for 15 yards touchdown,15,3.810,7.000,3.19
2008-09-14,Chargers,Broncos,4,4:36,2,6,SDG 34,36-31,Philip Rivers pass complete short left to Darren Sproles for 66 yards touchdown,66,0.930,7.000,6.07
2008-09-07,Chargers,Panthers,2,9:42,1,10,CAR 44,6-3,Philip Rivers pass complete deep right to Chris Chambers for 44 yards touchdown,44,2.650,7.000,4.35
2008-09-07,Chargers,Panthers,4,6:54,1,10,CAR 24,16-19,Philip Rivers pass complete deep left to Antonio Gates for 24 yards touchdown,24,3.970,7.000,3.03
2008-09-07,Chargers,Panthers,4,2:32,3,5,CAR 5,23-19,Philip Rivers pass complete short right to Vincent Jackson for 5 yards touchdown,5,4.260,7.000,2.74
2008-01-13,Chargers,Colts,2,8:44,3,8,CLT 14,6-7,Philip Rivers pass complete short left to Vincent Jackson for 14 yards touchdown,14,3.370,7.000,3.63
2008-01-13,Chargers,Colts,3,11:39,1,5,CLT 30,13-10,Philip Rivers pass complete deep left to Chris Chambers for 30 yards touchdown,30,3.980,7.000,3.02
2008-01-13,Chargers,Colts,3,0:10,2,10,SDG 44,20-17,Philip Rivers pass complete short left to Darren Sproles for 56 yards touchdown,56,1.320,7.000,5.68
2008-01-06,Chargers,Titans,3,2:43,2,6,OTI 25,9-6,Philip Rivers pass complete deep right to Vincent Jackson for 25 yards touchdown,25,3.640,7.000,3.36
2007-12-30,Chargers,Raiders,1,10:00,2,7,RAI 7,6-0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 7 yards touchdown,7,4.760,7.000,2.24
2007-12-30,Chargers,Raiders,2,0:45,2,3,RAI 19,13-7,Philip Rivers pass complete deep right to Chris Chambers for 19 yards touchdown,19,4.270,7.000,2.73
2007-12-24,Chargers,Broncos,3,8:03,2,14,DEN 14,22-0,Philip Rivers pass complete short middle to Chris Chambers for 14 yards touchdown,14,3.580,7.000,3.42
2007-12-16,Chargers,Lions,2,0:32,3,1,DET 1,33-7,Philip Rivers pass complete short left to Brandon Manumaleuna for 1 yard touchdown,1,5.170,7.000,1.83
2007-12-09,Chargers,Titans,4,7:35,1,7,OTI 7,9-17,Philip Rivers pass complete short right to LaDainian Tomlinson for 7 yards touchdown,7,5.600,7.000,1.40
2007-12-09,Chargers,Titans,4,0:13,3,2,OTI 2,16-17,Philip Rivers pass complete short left to Antonio Gates for 2 yards touchdown,2,4.950,7.000,2.05
2007-12-02,Chargers,Chiefs,2,3:37,2,10,KAN 38,9-10,Philip Rivers pass complete deep left to Vincent Jackson for 38 yards touchdown,38,2.510,7.000,4.49
2007-11-25,Chargers,Ravens,2,7:23,2,10,RAV 35,9-7,Philip Rivers pass complete deep middle to Antonio Gates for 35 yards touchdown,35,2.700,7.000,4.30
2007-11-25,Chargers,Ravens,2,0:30,3,5,RAV 5,18-7,Philip Rivers pass complete short left to Chris Chambers for 5 yards touchdown,5,4.260,7.000,2.74
2007-11-25,Chargers,Ravens,3,11:36,3,8,RAV 25,28-7,Philip Rivers pass complete deep left to Antonio Gates for 25 yards touchdown,25,2.810,7.000,4.19
2007-11-18,Chargers,Jaguars,4,5:13,1,10,JAX 24,16-24,Philip Rivers pass complete deep middle to Antonio Gates for 24 yards touchdown,24,3.970,7.000,3.03
2007-10-28,Chargers,Texans,1,5:59,1,10,HTX 49,6-0,Philip Rivers pass complete deep right to Antonio Gates for 49 yards touchdown,49,2.320,7.000,4.68
2007-10-28,Chargers,Texans,2,12:08,2,4,HTX 31,20-3,Philip Rivers pass complete deep left to Antonio Gates for 31 yards touchdown,31,3.380,7.000,3.62
2007-10-28,Chargers,Texans,2,2:38,3,12,HTX 14,34-3,Philip Rivers pass complete short middle to Chris Chambers for 14 yards touchdown,14,3.060,7.000,3.94
2007-10-07,Chargers,Broncos,3,9:27,2,7,DEN 9,26-3,Philip Rivers pass complete short right to Antonio Gates for 9 yards touchdown,9,4.640,7.000,2.36
2007-10-07,Chargers,Broncos,3,0:14,2,8,DEN 15,33-3,Philip Rivers pass complete short right to Vincent Jackson for 15 yards touchdown,15,4.150,7.000,2.85
2007-09-23,Chargers,Packers,1,7:13,1,20,GNB 27,6-0,Philip Rivers pass complete deep right to Vincent Jackson for 27 yards touchdown,27,3.780,7.000,3.22
2007-09-23,Chargers,Packers,2,0:41,2,9,GNB 9,13-17,Philip Rivers pass complete short left to Craig Davis for 9 yards touchdown,9,4.380,7.000,2.62
2007-09-23,Chargers,Packers,3,9:10,2,8,GNB 21,20-17,Philip Rivers pass complete short right to LaDainian Tomlinson for 21 yards touchdown,21,3.770,7.000,3.23
2007-09-16,Chargers,Patriots,3,6:47,4,1,NWE 1,6-24,Philip Rivers pass complete short left to Lorenzo Neal for 1 yard touchdown,1,3.550,7.000,3.45
2007-09-16,Chargers,Patriots,4,14:54,2,10,NWE 12,13-31,Philip Rivers pass complete short left to Antonio Gates for 12 yards touchdown,12,4.100,7.000,2.90
2006-12-31,Chargers,Cardinals,2,10:32,2,10,CRD 33,9-7,Philip Rivers pass complete deep right to Antonio Gates for 33 yards touchdown. Penalty on Adrian Wilson: Face Mask (15 Yards) 15 yards,33,2.840,7.000,4.16
2006-12-31,Chargers,Cardinals,2,1:54,2,8,CRD 14,16-7,Philip Rivers pass complete short left to Vincent Jackson for 14 yards touchdown,14,4.210,7.000,2.79
2006-12-24,Chargers,Seahawks,2,3:25,2,8,SEA 9,6-0,Philip Rivers pass complete short left to Vincent Jackson for 9 yards touchdown,9,4.510,7.000,2.49
2006-12-24,Chargers,Seahawks,4,0:36,2,10,SEA 37,19-17,Philip Rivers pass complete deep middle to Vincent Jackson for 37 yards touchdown,37,2.570,7.000,4.43
2006-12-10,Chargers,Broncos,1,4:56,2,8,DEN 12,6-0,Philip Rivers pass complete short left to Antonio Gates for 12 yards touchdown,12,4.330,7.000,2.67
2006-12-10,Chargers,Broncos,2,0:27,3,5,DEN 7,27-3,Philip Rivers pass complete short middle to Antonio Gates for 7 yards touchdown,7,4.160,7.000,2.84
2006-12-03,Chargers,Bills,2,0:29,2,10,BUF 11,16-0,Philip Rivers pass complete short right to Antonio Gates for 11 yards touchdown,11,4.140,7.000,2.86
2006-11-19,Chargers,Broncos,3,4:00,3,3,SDG 49,20-24,Philip Rivers pass complete short middle to LaDainian Tomlinson for 51 yards touchdown,51,1.420,7.000,5.58
2006-11-19,Chargers,Broncos,4,6:51,2,5,DEN 5,27-27,Philip Rivers pass complete short left to Vincent Jackson for 5 yards touchdown,5,5.150,7.000,1.85
2006-11-12,Chargers,Bengals,3,9:15,1,10,CIN 46,20-28,Philip Rivers pass complete deep right to Malcom Floyd for 46 yards touchdown,46,2.520,7.000,4.48
2006-11-12,Chargers,Bengals,3,3:14,2,9,CIN 9,27-31,Philip Rivers pass complete short right to Brandon Manumaleuna for 9 yards touchdown,9,4.380,7.000,2.62
2006-11-12,Chargers,Bengals,4,2:37,3,5,CIN 5,48-41,Philip Rivers pass complete short left to Brandon Manumaleuna for 5 yards touchdown,5,4.260,7.000,2.74
2006-10-29,Chargers,Rams,4,4:04,3,8,RAM 25,37-17,Philip Rivers pass complete deep right to LaDainian Tomlinson for 25 yards touchdown,25,2.810,7.000,4.19
2006-10-22,Chargers,Chiefs,3,9:32,3,1,KAN 1,12-20,Philip Rivers pass complete to Antonio Gates for 1 yard touchdown,1,5.170,7.000,1.83
2006-10-22,Chargers,Chiefs,4,13:23,4,3,KAN 37,19-27,Philip Rivers pass complete to LaDainian Tomlinson for 37 yards touchdown,37,0.790,7.000,6.21
2006-10-15,Chargers,49ers,1,12:13,3,3,SDG 43,6-0,Philip Rivers pass complete short left to Antonio Gates for 57 yards touchdown,57,1.030,7.000,5.97
2006-10-15,Chargers,49ers,2,12:07,1,10,SFO 33,20-10,Philip Rivers pass complete deep left to Vincent Jackson for 33 yards touchdown,33,3.380,7.000,3.62
2006-10-08,Chargers,Steelers,2,1:16,3,2,PIT 9,6-10,Philip Rivers pass complete short left to Malcom Floyd for 9 yards touchdown,9,4.570,7.000,2.43
2006-10-08,Chargers,Steelers,3,5:27,2,10,PIT 22,16-13,Philip Rivers pass complete deep middle to Antonio Gates for 22 yards touchdown,22,3.560,7.000,3.44
2006-10-01,Chargers,Ravens,1,10:21,2,6,RAV 31,6-0,Philip Rivers pass complete deep right to Malcom Floyd for 31 yards touchdown,31,3.240,7.000,3.76
2006-09-17,Chargers,Titans,4,12:20,3,8,OTI 12,32-0,Philip Rivers pass complete to Vincent Jackson for 12 yards touchdown,12,3.430,7.000,3.57
2006-09-11,Chargers,Raiders,4,10:01,2,4,RAI 4,19-0,Philip Rivers pass complete short right to Antonio Gates for 4 yards touchdown,4,5.340,7.000,1.66
2005-01-02,Chargers,Chiefs,4,7:17,2,10,KAN 13,23-3,Philip Rivers pass complete to Malcom Floyd for 13 yards touchdown,13,4.050,7.000,2.95
