Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2018-11-04,Falcons,Washington,4,3:55,3,2,WAS 35,37-14,Matt Ryan pass complete short left to Julio Jones for 35 yards touchdown,35,2.540,7.000,4.46
2018-10-22,Falcons,Giants,2,5:00,1,10,NYG 47,6-0,Matt Ryan pass complete deep middle to Marvin Hall for 47 yards touchdown,47,2.460,7.000,4.54
2018-10-14,Falcons,Buccaneers,1,8:29,1,10,TAM 35,6-6,Matt Ryan pass complete short left to Mohamed Sanu for 35 yards touchdown,35,3.250,7.000,3.75
2018-10-14,Falcons,Buccaneers,2,7:38,1,9,TAM 9,20-6,Matt Ryan pass complete short left to Austin Hooper for 9 yards touchdown,9,5.140,7.000,1.86
2018-10-14,Falcons,Buccaneers,4,6:34,1,6,TAM 6,30-22,Matt Ryan pass complete short right to Tevin Coleman for 6 yards touchdown,6,5.830,7.000,1.17
2018-10-07,Falcons,Steelers,2,11:29,1,10,PIT 43,6-13,Matt Ryan pass complete short middle to Mohamed Sanu for 43 yards touchdown,43,2.720,7.000,4.28
2018-09-30,Falcons,Bengals,2,11:09,2,9,CIN 17,13-14,Matt Ryan pass complete deep right to Logan Paulsen for 17 yards touchdown,17,3.940,7.000,3.06
2018-09-30,Falcons,Bengals,2,3:00,3,1,CIN 11,20-21,Matt Ryan pass complete short left to Calvin Ridley for 11 yards touchdown,11,4.590,7.000,2.41
2018-09-30,Falcons,Bengals,4,14:31,1,10,CIN 30,33-28,Matt Ryan pass complete deep right to Calvin Ridley for 30 yards touchdown,30,3.580,7.000,3.42
2018-09-23,Falcons,Saints,1,3:12,1,10,NOR 18,6-7,Matt Ryan pass complete deep right to Calvin Ridley for 18 yards touchdown,18,4.370,7.000,2.63
2018-09-23,Falcons,Saints,2,2:23,2,10,ATL 25,13-13,Matt Ryan pass complete deep right to Calvin Ridley for 75 yards touchdown,75,0.060,7.000,6.94
2018-09-23,Falcons,Saints,3,12:09,2,9,NOR 9,20-16,Matt Ryan pass complete short left to Calvin Ridley for 9 yards touchdown,9,4.380,7.000,2.62
2018-09-23,Falcons,Saints,4,14:17,1,5,NOR 5,27-23,Matt Ryan pass complete short right to Tevin Coleman for 5 yards touchdown,5,6.060,7.000,.94
2018-09-23,Falcons,Saints,4,7:04,1,5,NOR 5,35-30,Matt Ryan pass complete short right to Mohamed Sanu for 5 yards touchdown,5,6.060,7.000,.94
2018-09-16,Falcons,Panthers,2,4:08,3,8,CAR 11,9-10,Matt Ryan pass complete short right to Calvin Ridley for 11 yards touchdown,11,3.450,7.000,3.55
2018-09-16,Falcons,Panthers,2,0:28,2,2,CAR 8,16-10,Matt Ryan pass complete short right to Austin Hooper for 8 yards touchdown,8,5.350,7.000,1.65
2018-01-13,Falcons,Eagles,2,5:46,3,6,PHI 6,9-6,Matt Ryan pass complete short left to Devonta Freeman for 6 yards touchdown,6,4.040,7.000,2.96
2018-01-06,Falcons,Rams,4,5:54,2,8,RAM 8,25-13,Matt Ryan pass complete short right to Julio Jones for 8 yards touchdown,8,4.570,7.000,2.43
2017-12-31,Falcons,Panthers,1,10:39,1,10,CAR 19,6-0,Matt Ryan pass complete short left to Devonta Freeman for 19 yards touchdown,19,4.310,7.000,2.69
2017-12-24,Falcons,Saints,4,2:44,3,3,NOR 14,12-23,Matt Ryan pass complete short left to Tevin Coleman for 14 yards touchdown,14,4.020,7.000,2.98
2017-12-18,Falcons,Buccaneers,1,7:00,3,6,TAM 6,6-0,Matt Ryan pass complete short left to Justin Hardy for 6 yards touchdown,6,4.040,7.000,2.96
2017-12-07,Falcons,Saints,4,10:01,3,4,NOR 8,16-17,Matt Ryan pass complete short middle to Mohamed Sanu for 8 yards touchdown,8,4.280,7.000,2.72
2017-11-26,Falcons,Buccaneers,2,7:35,1,10,TAM 25,16-3,Matt Ryan pass complete deep left to Julio Jones for 25 yards touchdown,25,3.910,7.000,3.09
2017-11-20,Falcons,Seahawks,1,7:58,3,2,SEA 2,13-0,Matt Ryan pass complete short right to Mohamed Sanu for 2 yards touchdown,2,4.950,7.000,2.05
2017-11-20,Falcons,Seahawks,3,7:33,1,10,SEA 25,30-20,Matt Ryan pass complete deep left to Levine Toilolo for 25 yards touchdown. Penalty on Earl Thomas: Unnecessary Roughness 15 yards,25,3.910,7.000,3.09
2017-11-12,Falcons,Cowboys,3,8:31,3,3,DAL 3,16-7,Matt Ryan pass complete short middle to Justin Hardy for 3 yards touchdown,3,4.720,7.000,2.28
2017-11-12,Falcons,Cowboys,4,13:53,1,1,DAL 1,23-7,Matt Ryan pass complete short right to Austin Hooper for 1 yard touchdown. Penalty on Kavon Frazier: Defensive Holding (Declined),1,6.970,7.000,.03
2017-11-05,Falcons,Panthers,1,3:35,2,6,CAR 6,9-0,Matt Ryan pass complete short left to Mohamed Sanu for 6 yards touchdown,6,4.950,7.000,2.05
2017-11-05,Falcons,Panthers,4,3:31,1,10,CAR 19,16-20,Matt Ryan pass complete short right to Tevin Coleman for 19 yards touchdown,19,4.310,7.000,2.69
2017-10-29,Falcons,Jets,1,5:09,1,1,NYJ 1,6-7,Matt Ryan pass complete short left to Austin Hooper for 1 yard touchdown,1,6.970,7.000,.03
2017-10-29,Falcons,Jets,4,12:31,3,8,NYJ 8,22-17,Matt Ryan pass complete short left to Mohamed Sanu for 8 yards touchdown,8,3.580,7.000,3.42
2017-10-22,Falcons,Patriots,4,4:13,1,1,NWE 1,6-23,Matt Ryan pass complete short right to Julio Jones for 1 yard touchdown,1,6.970,7.000,.03
2017-10-15,Falcons,Dolphins,1,2:00,1,10,MIA 40,9-0,Matt Ryan pass complete deep middle to Marvin Hall for 40 yards touchdown,40,2.920,7.000,4.08
2017-10-01,Falcons,Bills,4,7:04,3,3,BUF 3,16-17,Matt Ryan pass complete short right to Justin Hardy for 3 yards touchdown,3,4.720,7.000,2.28
2017-09-24,Falcons,Lions,1,8:46,2,4,DET 4,6-0,Matt Ryan pass complete short left to Mohamed Sanu for 4 yards touchdown,4,5.340,7.000,1.66
2017-09-24,Falcons,Lions,4,15:00,1,10,DET 40,29-23,Matt Ryan pass complete short left to Taylor Gabriel for 40 yards touchdown,40,2.920,7.000,4.08
2017-09-17,Falcons,Packers,2,0:24,2,3,GNB 3,23-7,Matt Ryan pass complete short right to Tevin Coleman for 3 yards touchdown,3,5.530,7.000,1.47
2017-09-10,Falcons,Bears,4,12:10,3,3,ATL 12,19-10,Matt Ryan pass complete deep middle to Austin Hooper for 88 yards touchdown,88,-0.600,7.000,7.60
2017-02-05,Falcons,Patriots,2,8:55,3,9,NWE 19,13-0,Matt Ryan pass complete deep left to Austin Hooper for 19 yards touchdown. Penalty on Patrick Chung: Defensive Pass Interference (Declined),19,3.100,7.000,3.90
2017-02-05,Falcons,Patriots,3,8:36,1,6,NWE 6,27-3,Matt Ryan pass complete short right to Tevin Coleman for 6 yards touchdown,6,5.830,7.000,1.17
2017-01-22,Falcons,Packers,1,8:30,3,2,GNB 2,6-0,Matt Ryan pass complete short left to Mohamed Sanu for 2 yards touchdown. Penalty on Ha Ha Clinton-Dix: Unnecessary Roughness 15 yards,2,4.950,7.000,2.05
2017-01-22,Falcons,Packers,2,0:07,3,1,GNB 5,23-0,Matt Ryan pass complete short right to Julio Jones for 5 yards touchdown,5,4.960,7.000,2.04
2017-01-22,Falcons,Packers,3,14:03,2,8,ATL 27,30-0,Matt Ryan pass complete short middle to Julio Jones for 73 yards touchdown. Penalty on Ladarius Gunter: Defensive Holding (Declined),73,0.330,7.000,6.67
2017-01-22,Falcons,Packers,3,4:15,3,4,GNB 4,37-7,Matt Ryan pass complete short right to Devonta Freeman for 4 yards touchdown,4,4.490,7.000,2.51
2017-01-14,Falcons,Seahawks,2,14:18,1,7,SEA 7,6-7,Matt Ryan pass complete short left to Julio Jones for 7 yards touchdown,7,5.600,7.000,1.40
2017-01-14,Falcons,Seahawks,2,0:59,1,10,SEA 14,18-10,Matt Ryan pass complete short left to Tevin Coleman for 14 yards touchdown,14,4.650,7.000,2.35
2017-01-14,Falcons,Seahawks,4,3:44,1,3,SEA 3,35-13,Matt Ryan pass complete short right to Mohamed Sanu for 3 yards touchdown,3,6.510,7.000,.49
2017-01-01,Falcons,Saints,1,12:01,1,7,NOR 7,6-0,Matt Ryan pass complete short left to Tevin Coleman for 7 yards touchdown,7,5.600,7.000,1.40
2017-01-01,Falcons,Saints,2,14:22,2,1,NOR 1,20-10,Matt Ryan pass complete short left to Julio Jones for 1 yard touchdown,1,5.910,7.000,1.09
2017-01-01,Falcons,Saints,2,6:58,2,10,NOR 10,27-10,Matt Ryan pass complete short right to Mohamed Sanu for 10 yards touchdown,10,4.190,7.000,2.81
2017-01-01,Falcons,Saints,2,0:36,3,2,NOR 7,34-13,Matt Ryan pass complete short right to Justin Hardy for 7 yards touchdown,7,4.680,7.000,2.32
2016-12-24,Falcons,Panthers,1,11:05,1,10,CAR 26,6-0,Matt Ryan pass complete deep left to Joshua Perkins for 26 yards touchdown,26,3.840,7.000,3.16
2016-12-24,Falcons,Panthers,2,5:42,3,1,CAR 1,19-3,Matt Ryan pass complete short right to D.J. Tialavea for 1 yard touchdown,1,5.170,7.000,1.83
2016-12-18,Falcons,49ers,1,7:48,2,9,SFO 9,13-0,Matt Ryan pass complete short left to Taylor Gabriel for 9 yards touchdown,9,4.380,7.000,2.62
2016-12-18,Falcons,49ers,1,0:47,3,9,SFO 9,20-0,Matt Ryan pass complete short right to Austin Hooper for 9 yards touchdown,9,3.360,7.000,3.64
2016-12-11,Falcons,Rams,1,14:56,1,3,RAM 3,6-0,Matt Ryan pass complete short left to Justin Hardy for 3 yards touchdown,3,6.510,7.000,.49
2016-12-11,Falcons,Rams,2,15:00,2,6,RAM 6,13-0,Matt Ryan pass complete short right to Tevin Coleman for 6 yards touchdown,6,4.950,7.000,2.05
2016-12-11,Falcons,Rams,3,13:29,1,10,ATL 36,27-0,Matt Ryan pass complete deep middle to Taylor Gabriel for 64 yards touchdown,64,1.330,7.000,5.67
2016-12-04,Falcons,Chiefs,4,4:37,2,5,KAN 5,28-27,Matt Ryan pass complete short middle to Aldrick Robinson for 5 yards touchdown,5,5.150,7.000,1.85
2016-11-27,Falcons,Cardinals,2,2:28,1,10,CRD 35,16-10,Matt Ryan pass complete short left to Taylor Gabriel for 35 yards touchdown,35,3.250,7.000,3.75
2016-11-27,Falcons,Cardinals,4,8:58,2,9,CRD 25,30-13,Matt Ryan pass complete short left to Taylor Gabriel for 25 yards touchdown,25,3.430,7.000,3.57
2016-11-13,Falcons,Eagles,4,13:25,2,11,ATL 24,15-13,Matt Ryan pass complete deep right to Taylor Gabriel for 76 yards touchdown,76,-0.070,7.000,7.07
2016-11-03,Falcons,Buccaneers,1,7:47,1,10,TAM 32,6-7,Matt Ryan pass complete deep right to Levine Toilolo for 32 yards touchdown,32,3.450,7.000,3.55
2016-11-03,Falcons,Buccaneers,3,8:59,2,1,TAM 1,26-14,Matt Ryan pass complete short left to Patrick DiMarco for 1 yard touchdown,1,5.910,7.000,1.09
2016-11-03,Falcons,Buccaneers,3,3:07,2,3,TAM 3,32-14,Matt Ryan pass complete short left to Julio Jones for 3 yards touchdown,3,5.530,7.000,1.47
2016-11-03,Falcons,Buccaneers,4,10:00,3,2,TAM 2,39-14,Matt Ryan pass complete short middle to Austin Hooper for 2 yards touchdown,2,4.950,7.000,2.05
2016-10-30,Falcons,Packers,1,4:36,1,10,GNB 47,9-7,Matt Ryan pass complete deep middle to Taylor Gabriel for 47 yards touchdown,47,2.460,7.000,4.54
2016-10-30,Falcons,Packers,2,0:32,2,5,GNB 5,19-21,Matt Ryan pass complete short left to Devonta Freeman for 5 yards touchdown,5,5.150,7.000,1.85
2016-10-30,Falcons,Packers,4,0:36,1,10,GNB 11,32-32,Matt Ryan pass complete short middle to Mohamed Sanu for 11 yards touchdown,11,4.840,7.000,2.16
2016-10-23,Falcons,Chargers,2,9:12,3,13,SDG 17,12-10,Matt Ryan pass complete deep middle to Jacob Tamme for 17 yards touchdown,17,2.930,7.000,4.07
2016-10-16,Falcons,Seahawks,3,11:07,2,10,SEA 36,9-17,Matt Ryan pass complete deep left to Julio Jones for 36 yards touchdown,36,2.640,7.000,4.36
2016-10-16,Falcons,Seahawks,3,6:16,2,10,SEA 10,16-17,Matt Ryan pass complete short left to Mohamed Sanu for 10 yards touchdown,10,4.190,7.000,2.81
2016-10-16,Falcons,Seahawks,3,0:26,1,10,SEA 46,23-17,Matt Ryan pass complete deep left to Levine Toilolo for 46 yards touchdown,46,2.520,7.000,4.48
2016-10-09,Falcons,Broncos,3,8:00,2,19,DEN 31,19-3,Matt Ryan pass complete deep middle to Tevin Coleman for 31 yards touchdown,31,2.350,7.000,4.65
2016-10-02,Falcons,Panthers,1,7:20,3,4,CAR 4,6-0,Matt Ryan pass complete short right to Jacob Tamme for 4 yards touchdown,4,4.490,7.000,2.51
2016-10-02,Falcons,Panthers,3,9:23,1,10,CAR 42,23-10,Matt Ryan pass complete deep left to Austin Hooper for 42 yards touchdown,42,2.790,7.000,4.21
2016-10-02,Falcons,Panthers,3,5:05,1,10,CAR 35,30-10,Matt Ryan pass complete deep left to Aldrick Robinson for 35 yards touchdown,35,3.250,7.000,3.75
2016-10-02,Falcons,Panthers,4,3:58,1,10,ATL 25,40-26,Matt Ryan pass complete short middle to Julio Jones for 75 yards touchdown,75,0.610,7.000,6.39
2016-09-26,Falcons,Saints,2,15:00,2,6,NOR 13,13-7,Matt Ryan pass complete short left to Devonta Freeman for 13 yards touchdown,13,4.500,7.000,2.50
2016-09-26,Falcons,Saints,2,0:31,2,4,NOR 4,27-14,Matt Ryan pass complete short middle to Justin Hardy for 4 yards touchdown,4,5.340,7.000,1.66
2016-09-18,Falcons,Raiders,2,4:51,2,9,RAI 21,9-7,Matt Ryan pass complete short middle to Julio Jones for 21 yards touchdown,21,3.700,7.000,3.30
2016-09-18,Falcons,Raiders,3,3:50,1,10,RAI 14,19-14,Matt Ryan pass complete short middle to Jacob Tamme for 14 yards touchdown. Penalty on Bruce Irvin: Defensive Holding (Declined),14,4.650,7.000,2.35
2016-09-18,Falcons,Raiders,4,9:35,3,6,RAI 8,27-21,Matt Ryan pass complete short right to Justin Hardy for 8 yards touchdown,8,3.930,7.000,3.07
2016-09-11,Falcons,Buccaneers,1,0:16,1,5,TAM 5,9-3,Matt Ryan pass complete short middle to Mohamed Sanu for 5 yards touchdown,5,6.060,7.000,.94
2016-09-11,Falcons,Buccaneers,3,1:42,2,10,TAM 25,19-31,Matt Ryan pass complete short middle to Julio Jones for 25 yards touchdown,25,3.360,7.000,3.64
