Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2014-12-21,Packers,Buccaneers,4,2:51,3,1,TAM 1,19-3,Aaron Rodgers pass complete short right to Jordy Nelson for 1 yard touchdown,1,5.170,7.000,1.83
2014-12-08,Packers,Falcons,2,4:24,1,1,ATL 1,23-7,Aaron Rodgers pass complete short middle to Eddie Lacy for 1 yard touchdown,1,6.970,7.000,.03
2014-12-08,Packers,Falcons,2,0:31,3,10,ATL 10,30-7,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards touchdown,10,3.130,7.000,3.87
2014-12-08,Packers,Falcons,4,10:38,1,10,GNB 40,40-24,Aaron Rodgers pass complete deep middle to Jordy Nelson for 60 yards touchdown,60,1.600,7.000,5.40
2014-11-30,Packers,Patriots,1,0:15,1,10,NWE 32,12-0,Aaron Rodgers pass complete deep left to Richard Rodgers for 32 yards touchdown,32,3.450,7.000,3.55
2014-11-30,Packers,Patriots,2,0:23,3,2,NWE 45,22-14,Aaron Rodgers pass complete short middle to Jordy Nelson for 45 yards touchdown,45,1.880,7.000,5.12
2014-11-23,Packers,Vikings,2,5:30,1,1,MIN 1,13-7,Aaron Rodgers pass complete short left to Richard Rodgers for 1 yard touchdown. Penalty on Jasper Brinkley: Defensive Holding (Declined),1,6.970,7.000,.03
2014-11-23,Packers,Vikings,4,8:41,2,5,MIN 10,23-13,Aaron Rodgers pass complete short middle to Eddie Lacy for 10 yards touchdown,10,4.840,7.000,2.16
2014-11-16,Packers,Eagles,1,3:38,1,6,PHI 6,9-0,Aaron Rodgers pass complete short right to Davante Adams for 6 yards touchdown,6,5.830,7.000,1.17
2014-11-16,Packers,Eagles,2,10:45,1,10,PHI 27,23-3,Aaron Rodgers pass complete deep right to Jordy Nelson for 27 yards touchdown,27,3.780,7.000,3.22
2014-11-16,Packers,Eagles,4,14:52,3,10,PHI 32,45-13,Aaron Rodgers pass complete short left to Eddie Lacy for 32 yards touchdown,32,2.210,7.000,4.79
2014-11-09,Packers,Bears,1,6:17,4,1,CHI 1,6-0,Aaron Rodgers pass complete short middle to Brandon Bostick for 1 yard touchdown,1,3.550,7.000,3.45
2014-11-09,Packers,Bears,1,3:59,3,1,CHI 4,13-0,Aaron Rodgers pass complete short right to Andrew Quarless for 4 yards touchdown,4,5.010,7.000,1.99
2014-11-09,Packers,Bears,2,15:00,3,11,GNB 27,20-0,Aaron Rodgers pass complete deep right to Jordy Nelson for 73 yards touchdown,73,-0.560,7.000,7.56
2014-11-09,Packers,Bears,2,12:17,2,10,CHI 40,27-0,Aaron Rodgers pass complete deep right to Jordy Nelson for 40 yards touchdown,40,2.370,7.000,4.63
2014-11-09,Packers,Bears,2,5:03,2,18,GNB 44,34-0,Aaron Rodgers pass complete short right to Eddie Lacy for 56 yards touchdown,56,0.770,7.000,6.23
2014-11-09,Packers,Bears,2,0:19,3,10,CHI 18,41-0,Aaron Rodgers pass complete deep left to Randall Cobb for 18 yards touchdown,18,3.050,7.000,3.95
2014-10-26,Packers,Saints,1,13:09,3,10,GNB 30,6-0,Aaron Rodgers pass complete deep right to Randall Cobb for 70 yards touchdown,70,-0.300,7.000,7.30
2014-10-19,Packers,Panthers,1,12:01,1,10,GNB 41,6-0,Aaron Rodgers pass complete deep right to Jordy Nelson for 59 yards touchdown,59,1.660,7.000,5.34
2014-10-19,Packers,Panthers,2,4:07,1,3,CAR 3,27-0,Aaron Rodgers pass complete short right to Randall Cobb for 3 yards touchdown,3,6.510,7.000,.49
2014-10-19,Packers,Panthers,3,10:28,1,10,CAR 21,34-3,Aaron Rodgers pass complete short middle to Davante Adams for 21 yards touchdown,21,4.170,7.000,2.83
2014-10-12,Packers,Dolphins,1,10:13,1,9,MIA 9,6-0,Aaron Rodgers pass complete short middle to Jordy Nelson for 9 yards touchdown,9,5.140,7.000,1.86
2014-10-12,Packers,Dolphins,3,3:52,3,5,MIA 5,16-10,Aaron Rodgers pass complete short right to Randall Cobb for 5 yards touchdown,5,4.260,7.000,2.74
2014-10-12,Packers,Dolphins,4,0:06,1,4,MIA 4,26-24,Aaron Rodgers pass complete short right to Andrew Quarless for 4 yards touchdown,4,6.280,7.000,.72
2014-10-02,Packers,Vikings,1,9:44,2,4,MIN 8,6-0,Aaron Rodgers pass complete short left to Randall Cobb for 8 yards touchdown,8,5.090,7.000,1.91
2014-10-02,Packers,Vikings,1,5:29,2,7,GNB 34,13-0,Aaron Rodgers pass complete deep middle to Jordy Nelson for 66 yards touchdown,66,0.870,7.000,6.13
2014-10-02,Packers,Vikings,2,4:55,3,1,MIN 11,27-0,Aaron Rodgers pass complete short middle to Davante Adams for 11 yards touchdown,11,4.590,7.000,2.41
2014-09-28,Packers,Bears,2,10:15,2,3,CHI 3,13-10,Aaron Rodgers pass complete short left to Jordy Nelson for 3 yards touchdown,3,5.530,7.000,1.47
2014-09-28,Packers,Bears,2,1:10,3,7,CHI 22,20-17,Aaron Rodgers pass complete deep right to Randall Cobb for 22 yards touchdown,22,3.070,7.000,3.93
2014-09-28,Packers,Bears,3,4:35,3,9,CHI 11,30-17,Aaron Rodgers pass complete short right to Jordy Nelson for 11 yards touchdown,11,3.290,7.000,3.71
2014-09-28,Packers,Bears,4,14:56,1,3,CHI 3,37-17,Aaron Rodgers pass complete short left to Randall Cobb for 3 yards touchdown,3,6.510,7.000,.49
2014-09-21,Packers,Lions,1,0:43,3,1,DET 10,6-7,Aaron Rodgers pass complete short middle to Andrew Quarless for 10 yards touchdown,10,4.690,7.000,2.31
2014-09-14,Packers,Jets,2,0:08,2,6,NYJ 6,15-21,Aaron Rodgers pass complete short middle to Randall Cobb for 6 yards touchdown,6,4.950,7.000,2.05
2014-09-14,Packers,Jets,3,5:48,3,1,NYJ 1,22-21,Aaron Rodgers pass complete short right to Randall Cobb for 1 yard touchdown,1,5.170,7.000,1.83
2014-09-14,Packers,Jets,3,2:21,1,10,GNB 20,30-24,Aaron Rodgers pass complete deep right to Jordy Nelson for 80 yards touchdown,80,0.280,7.000,6.72
2014-09-04,Packers,Seahawks,4,9:37,2,3,SEA 3,16-29,Aaron Rodgers pass complete short right to Randall Cobb for 3 yards touchdown,3,5.530,7.000,1.47
2014-01-05,Packers,49ers,2,5:56,3,5,SFO 5,6-6,Aaron Rodgers pass complete short right to Jordy Nelson for 5 yards touchdown,5,4.260,7.000,2.74
2013-12-29,Packers,Bears,3,7:32,3,4,CHI 7,19-14,Aaron Rodgers pass complete short middle to Randall Cobb for 7 yards touchdown,7,4.330,7.000,2.67
2013-12-29,Packers,Bears,4,0:46,4,8,CHI 48,33-28,Aaron Rodgers pass complete deep left to Randall Cobb for 48 yards touchdown,48,0.070,7.000,6.93
2013-10-27,Packers,Vikings,1,7:28,3,2,MIN 11,6-7,Aaron Rodgers pass complete short right to Jordy Nelson for 11 yards touchdown,11,4.430,7.000,2.57
2013-10-27,Packers,Vikings,2,3:49,3,6,GNB 24,16-10,Aaron Rodgers pass complete short middle to Jordy Nelson for 76 yards touchdown,76,-0.430,7.000,7.43
